18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18814316-55	From the observed Förster-type fluorescence resonance energy transfer (FRET), the donor ( <mark style="background-color:lightgreen;" id="P19334,P55965,Q920J4">Trp</mark> 214 in <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> ) to acceptor (<mark style="background-color:lightblue;" id="446240">IOC</mark>) distance is calculated to be 3.2 nm.
18814316-56	The preferred <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> site of <mark style="background-color:lightblue;" id="446240">IOC</mark> was analyzed by ligand displacement experiments with <mark style="background-color:lightblue;" id="1369">1-anilino-8-naphthalenesulfonate</mark> ( <mark style="background-color:lightgreen;" id="O04274,P51091,Q96323">ANS</mark> ) and <mark style="background-color:lightblue;" id="54678486">warfarin</mark>-bound <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> .
18768213-91	Mechanistically, we showed EphA2 knockdown suppressed <mark style="background-color:lightgreen;" id="P84122">thrombin</mark> -induced <mark style="background-color:lightblue;" id="5951">serine</mark> 536 <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> of NFkappaB, an event critical of <mark style="background-color:lightgreen;" id="P05362,P13597,P33729,Q00238,Q28806,Q5NKV4,Q5NKV6,Q5NKV9,Q95132">ICAM-1</mark> transcriptional upregulation.
18791145-109	The objective of this study was to examine the effect of level and duration of feeding of an <mark style="background-color:lightgreen;" id="P25225">n-3</mark> PUFA-enriched fish oil (<mark style="background-color:lightblue;" id="46209,69711">FO</mark>) supplement in combination with soybean oil (SO) on the transcriptional regulation of <mark style="background-color:lightgreen;" id="O00767,O02858,O62849,O94523,Q12618,Q64420,Q92038,Q95MI7,Q9TT94">Delta(9)-desaturase</mark> gene expression in bovine muscle.
18751889-128	<mark style="background-color:yellow;" id="GO:0008021,cellular_component">Synaptic vesicle</mark> -bound <mark style="background-color:lightgreen;" id="O05118,O06134,O08309,O44006,O51323,O62619,O94122,P19680,P22360,P30614,P31865,P32044,P34038,P43924,P46614,P47458,P51181,P51182,P57404,P70789,P78031,P80885,P81344,P94685,P94939,Q02499,Q04668,Q07637,Q10208,Q12669,Q27686,Q27788,Q44473,Q46078,Q46289,Q56301,Q57572,Q6BS75,Q759A9,Q7RVA8,Q875M9,Q875S4,Q875Z9,Q89AI8,Q8FP04,Q8K9M3,Q9PK61,Q9Z984">pyruvate kinase</mark> can support vesicular <mark style="background-color:lightblue;" id="611,23327,33032">glutamate</mark> uptake.
18751891-135	We examined the expression of <mark style="background-color:lightgreen;" id="O08651,Q61753">Phgdh</mark> and <mark style="background-color:lightgreen;" id="O35874,P43007">ASCT1</mark> in <mark style="background-color:lightblue;" id="10255">kainic acid</mark> (KA)-induced neurodegeneration of the mouse hippocampus using immunohistochemistry and Western blots.
18751892-137	A significant decrease in <mark style="background-color:lightgreen;" id="Q00960,Q01097,Q13224">NR2B</mark> in the whole hippocampus was observed after MP4 with a tendency to recover to normal values in <mark style="background-color:lightblue;" id="49766501">MP7</mark> by western blot assay.
18809244-141	This study was performed to evaluate the effects of <mark style="background-color:lightblue;" id="5291">imatinib</mark> on breast cancer cell lines with respect to the activity of <mark style="background-color:lightgreen;" id="P05622,P09619,P79749,Q05030,Q6QNF3">PDGFR beta</mark> and <mark style="background-color:lightgreen;" id="P31750,Q8INB9">Akt</mark> : a downstream modulator of cell growth and survival.
18809262-150	The mechanisms may include the recently revealed anti-inflammatory effects of <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> as well as its conventional <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark> and free fatty acids lowering effects, and possibly may also include changes in body fat distribution and plasma adiponectin level.
18792915-162	<mark style="background-color:lightgreen;" id="O62618">p38-MAPK</mark> - and caspase-3-mediated <mark style="background-color:lightblue;" id="5359597">superoxide</mark>-induced <mark style="background-color:yellow;" id="GO:0006915,biological_process">apoptosis</mark> of rat hepatic stellate cells: reversal by <mark style="background-color:lightblue;" id="444795">retinoic acid</mark>.
18809347-188	Recently, we reported stimulatory effect of <mark style="background-color:lightgreen;" id="Q6BEG6,Q6BEG7,Q9BDJ6,Q9BEF8,Q9EQX0,Q9GKY5,Q9QYH7,Q9UBU3">ghrelin</mark> alone and in combination with <mark style="background-color:lightgreen;" id="O12980,O13188,O18938,O62754,O70615,O73848,O73849,O93566,P01241,P01244,P01245,P01246,P01248,P06880,P07064,P08591,P08998,P09113,P09537,P09539,P10298,P10607,P10766,P10813,P10814,P11228,P13391,P19795,P20391,P20392,P22077,P24363,P29971,P33092,P33093,P33711,P34005,P34006,P34744,P34745,P34746,P34747,P37885,P37886,P45643,P45654,P45655,P46404,P46407,P48248,P55755,P56437,P58343,P58756,P67930,P67931,P69158,P69159,P69160,P69161,P69162,P79885,P87391,Q01282,Q01283,Q05163,Q07221,Q1HFN3,Q659Q8,Q7YQB8,Q7YQD2,Q7YRR6,Q864S7,Q8HYE5,Q8MI73,Q98UF6,Q9DEV3,Q9DGG5,Q9GKA1,Q9GL60,Q9GMB2,Q9GMB3,Q9I9L5,Q9I9M4,Q9IB11,Q9IBE5,Q9JKM4,Q9PWG3,Q9W6J5,Q9W6J7,Q9W6R8">growth hormone</mark> (GH) on <mark style="background-color:lightblue;" id="5757">estradiol</mark> <mark style="background-color:yellow;" id="GO:0046903,biological_process">secretion</mark> , <mark style="background-color:lightgreen;" id="O42145,O46512,P11511,P19098,P22443,P28649,P46194,P70091,P79304,P79430,P79699,Q29605,Q29624,Q5QQX7,Q69FB6,Q6QHT9,Q6YI21,Q92087,Q92111,Q92112,Q95M61,Q9XS28">aromatase</mark> activity in parallel with inhibitory effect on cell <mark style="background-color:yellow;" id="GO:0006915,biological_process">apoptosis</mark> .
18809347-189	In cultures treated together <mark style="background-color:lightgreen;" id="Q6BEG6,Q6BEG7,Q9BDJ6,Q9BEF8,Q9EQX0,Q9GKY5,Q9QYH7,Q9UBU3">ghrelin</mark> and (D- <mark style="background-color:lightgreen;" id="P05821,P10099,P13344,P13345,P15176,P23630,P51728,Q03709,Q9T1X2">Lys</mark> -3)- <mark style="background-color:lightgreen;" id="O08725,Q92847,Q95254,Q99P50">GHRP</mark> -6, <mark style="background-color:lightblue;" id="5757">estradiol</mark> <mark style="background-color:yellow;" id="GO:0046903,biological_process">secretion</mark> , <mark style="background-color:lightgreen;" id="O42145,O46512,P11511,P19098,P22443,P28649,P46194,P70091,P79304,P79430,P79699,Q29605,Q29624,Q5QQX7,Q69FB6,Q6QHT9,Q6YI21,Q92087,Q92111,Q92112,Q95M61,Q9XS28">aromatase</mark> activity and <mark style="background-color:yellow;" id="GO:0008283,biological_process">cell proliferation</mark> returned to control levels.
18801207-197	<mark style="background-color:lightblue;" id="5321439,5468522">Bakuchiol</mark> has a three-fold higher <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> affinity for <mark style="background-color:lightgreen;" id="O42132,P03372,P06211,P06212,P16058,P19785,P49884,P49885,P49886,P50240,P50241,P50242,P57717,P57753,P81559,Q29040,Q53AD2,Q91250,Q91424,Q9PVZ9,Q9QZJ5,Q9TV98,Q9YH33,Q9YHT3,Q9YHZ7">ERalpha</mark> than for <mark style="background-color:lightgreen;" id="O08537,O13012,O93511,P57781,P57782,Q62986,Q92731,Q95171,Q9IAK1,Q9PTU5,Q9PVE2,Q9TTE5,Q9TU15,Q9W6M2,Q9XSB5,Q9XSW2,Q9YH32">ERbeta</mark> .
18752070-205	The relationship between <mark style="background-color:lightgreen;" id="P10765,P22393,P33089,P33090,P33091,P43001">prolactin</mark> ( <mark style="background-color:lightgreen;" id="O62781,O62819,O93337,P01236,P01237,P01238,P01239,P01240,P06879,P09585,P10765,P12420,P14676,P17572,P21993,P22393,P29234,P29235,P33089,P33090,P33091,P33096,P34181,P35395,P37884,P40424,P43001,P43299,P46403,P48096,P48249,P51904,P55151,P87495,Q28318,Q28632,Q3Y4G6,Q6UC74,Q7ZZV3,Q8HXS1,Q9QZL1,Q9YGV6">PRL</mark> ), <mark style="background-color:lightgreen;" id="O02750,O93416,Q28603,Q95189,Q95234">leptin</mark> , <mark style="background-color:lightblue;" id="145068">nitric oxide</mark> (NO), and cytokines in patients with hyperprolactinemia.
18760301-213	<mark style="background-color:lightblue;" id="56842156">Cobra venom factor</mark> ( <mark style="background-color:lightgreen;" id="Q01833,Q91132">CVF</mark> ) is a structural and functional analog of <mark style="background-color:lightgreen;" id="P23667,P98094">complement C3</mark> isolated from cobra venom.
18784906-222	Quantitative evaluation of <mark style="background-color:lightgreen;" id="P36836,P46059,Q8WMX5">PEPT1</mark> contribution to oral absorption of <mark style="background-color:lightblue;" id="27447">cephalexin</mark> in rats.
18784908-224	<mark style="background-color:lightblue;" id="104815">Cu</mark> concentration in the liver and in plasma <mark style="background-color:lightblue;" id="602,4580,5950,71080">alanine</mark> <mark style="background-color:yellow;" id="GO:0008483,molecular_function">aminotransferase</mark> (ALT) and <mark style="background-color:lightblue;" id="5960">aspartate</mark> transaminase ( <mark style="background-color:lightgreen;" id="P0AE37,P0AE38,P80357,P80358,Q0TH83,Q1C8B0,Q1RB46,Q321N9,Q32G89,Q3Z294,Q5PHB9,Q66B20,Q7N2G8,Q83L52,Q8FH00,Q8Z6G0,Q8ZPV1,Q9NRA2,Q9ZC67">AST</mark> ) activities were determined.
18806218-232	<mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">Insulin</mark>  <mark style="background-color:yellow;" id="GO:0046903,biological_process">secretion</mark> is highly sensitive to desorption of <mark style="background-color:yellow;" id="GO:0005886,cellular_component">plasma membrane</mark> <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark>.
18806218-233	<mark style="background-color:lightblue;" id="304,5997,6432564,11025495">Cholesterol</mark>-rich clusters of <mark style="background-color:yellow;" id="GO:0005484,molecular_function">SNARE</mark> ( <mark style="background-color:lightgreen;" id="Q23983">soluble NSF attachment protein</mark> receptor) proteins have been implicated as being important for <mark style="background-color:yellow;" id="GO:0006887,biological_process">exocytosis</mark> .
18785000-243	We previously reported that inhibition of <mark style="background-color:lightgreen;" id="O51891,O67031,O83281,P03304,P0A295,P0A296,P0AG30,P0AG31,P0AG32,P0AG33,P15409,P17593,P17594,P20350,P29403,P33561,P35359,P38527,P44619,P45835,P51489,P52152,P52153,P52154,P52155,P52156,P52157,P52158,P56466,P57652,P66028,P66029,Q03222,Q06447,Q89A22,Q9ZD24,Q9ZLS9">Rho</mark> -kinase (ROCK) by hydroxyl <mark style="background-color:lightblue;" id="3547">fasudil</mark> improves cognitive deficit and neuronal damage in rats with chronic cerebral ischemia (Huang et al., Cell Mol Neurobiol 28:757-768, 2008).
18785000-244	Finally, in the presence of OGD and <mark style="background-color:lightblue;" id="3547">fasudil</mark> mesylate, <mark style="background-color:lightgreen;" id="O50258">superoxide dismutase</mark> ( <mark style="background-color:lightgreen;" id="O12933,O22668,O75007,P24705,P51547,P93258,Q01137,Q27666,Q9SM64">SOD</mark> ) activity was increased by 50% for cortex and by 58% for hippocampus, compared to OGD only group.
18801387-245	While rtTA mRNA levels were high in developmental and adult tissues, <mark style="background-color:lightgreen;" id="P06956,P16961">Cre</mark>  <mark style="background-color:lightgreen;" id="P22877">recombinase</mark> mRNA levels remained low after <mark style="background-color:lightblue;" id="54671203">doxycycline</mark> treatment.
18817778-252	The inhibition of female rabbit sexual <mark style="background-color:yellow;" id="GO:0007610,biological_process">behavior</mark> by <mark style="background-color:lightblue;" id="5994">progesterone</mark>: <mark style="background-color:lightgreen;" id="P06186,P06401,P07812,P79373,Q00175,Q28590,Q63449,Q8AYI2,Q9GLW0">progesterone receptor</mark> -dependent and-independent effects.
18793216-256	In vivo administration of a synthetic phospholipid, named hereafter phospho-ceramide analogue-1 (PCERA-1), was previously found to suppress <mark style="background-color:lightblue;" id="11970143">lipopolysaccharide</mark> (LPS)-induced <mark style="background-color:lightgreen;" id="O35734,O77510,O77764,P01375,P04924,P06804,P13296,P16599,P19101,P23383,P23563,P29553,P33620,P36939,P48094,P51435,P51742,P51743,P59684,P59693,P59694,P59695,P79337,P79374,Q06599,Q19LH4,Q1G1A2,Q1WM27,Q2MH05,Q539C2,Q75N23,Q8HZD9,Q8JFG3,Q8MKG8,Q8WNR1,Q9BEA1">TNF-alpha</mark> blood levels.
18817795-260	The present study investigated whether the levels of circulating <mark style="background-color:lightblue;" id="5753">corticosterone</mark> and its <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> protein, <mark style="background-color:lightgreen;" id="P23775">corticosteroid binding globulin</mark> ( <mark style="background-color:lightgreen;" id="P08185,P23775,P31211,P49920,P50451,Q06770,Q5R9E3,Q5RF65,Q60543,Q9H227">CBG</mark> ), are altered with reproductive experience and pup-exposure during late <mark style="background-color:yellow;" id="GO:0007565,biological_process">pregnancy</mark> and the postpartum.
18817797-263	The influence of <mark style="background-color:lightblue;" id="54454,4677798">simvastatin</mark>, <mark style="background-color:lightblue;" id="60823">atorvastatin</mark> and high-<mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> diet on <mark style="background-color:lightgreen;" id="Q867X2,Q867X3,Q86GC9,Q92081">acetylcholinesterase</mark> activity, amyloid beta and <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> synthesis in rat brain.
18752284-283	Effect of <mark style="background-color:lightgreen;" id="P20815,P80056">cytochrome P450 3A5</mark> *3 genotype on the stereoselective pharmacokinetics of <mark style="background-color:lightblue;" id="2162">amlodipine</mark> in healthy subjects.
18752284-287	It provides the evidence that <mark style="background-color:lightgreen;" id="P20815">CYP3A5</mark> *3genotype plays a minor role in the interindividual variability of stereoselective disposition of <mark style="background-color:lightblue;" id="2162">amlodipine</mark> in humans.
18785066-298	Na+/H+ exchanger isoform 3 ( <mark style="background-color:lightgreen;" id="P26432,P26433,P48764,Q28362,Q84WG1">NHE-3</mark> ) is responsible for net uptake of <mark style="background-color:lightblue;" id="5234">NaCl</mark> and water from the gastrointestinal (GI) tract.
18752301-300	These evoked expressions at both molecular and cellular levels were significantly inhibited after TRPV(1) receptors were blocked by <mark style="background-color:lightblue;" id="16219535">5'-iodoresiniferatoxin</mark> (5 microg) or <mark style="background-color:lightgreen;" id="P05130,P13677,P13678,P34722">PKC</mark> was inhibited by <mark style="background-color:lightblue;" id="2703,411938">chelerythrine</mark> <mark style="background-color:lightblue;" id="312">chloride</mark> (5 microg).
18760497-301	Activities of malate- and succinate-dehydrogenases ( <mark style="background-color:lightgreen;" id="O24047,P20932,P33216,P46487,P52426,Q04820,Q43744">MDH</mark> , <mark style="background-color:lightgreen;" id="O34607,O34635,O86564,P09367,P20132,P21801,P21912,P21914,P33073,P33074,P38997,P38998,P42630,P43065,P56072,P66773,P66774,P71349,P80212,P80213,Q02912,Q09694,Q48838,Q6FU27,Q75BV4,Q7SFX6,Q870G1,Q8LGI2,Q99K67,Q9SMZ4,Q9SQT8,Q9UDR5,Q9ZMU7">SDH</mark> ) and <mark style="background-color:lightblue;" id="439153">NADH</mark>- and succinate- <mark style="background-color:lightgreen;" id="O07091,O13393,O22642,O93863,P00002,P00003,P00004,P00007,P00008,P00011,P00012,P00013,P00014,P00017,P00018,P00019,P00020,P00021,P00022,P00024,P00025,P00027,P00028,P00029,P00030,P00031,P00032,P00035,P00036,P00037,P00038,P00039,P00040,P00041,P00042,P00043,P00046,P00047,P00048,P00049,P00051,P00052,P00053,P00054,P00055,P00056,P00057,P00058,P00059,P00060,P00061,P00062,P00063,P00064,P00065,P00066,P00067,P00068,P00069,P00070,P00071,P00072,P00073,P00074,P00075,P00076,P00077,P00078,P00079,P12831,P15451,P18822,P19681,P19974,P21665,P22342,P25400,P29380,P32556,P38091,P53698,P56205,P59218,P62772,P62773,P62894,P62895,P62896,P67881,P67882,P68096,P68097,P68098,P68099,P68100,P68517,P68518,P68519,P81280,P81459,P99998,P99999,Q41346,Q4HVX7,Q52V08,Q52V09,Q52V10,Q5RFH4,Q640U4,Q6C9Q0,Q6IQM2,Q6Q4H8,Q6QLW4,Q6WUX8,Q753F4,Q7YR71,Q96VP3">cytochrome c</mark> reductases (NCCR, SCCR) were rapidly inhibited, while <mark style="background-color:lightgreen;" id="O07091,O13393,O22642,O93863,P00002,P00003,P00004,P00007,P00008,P00011,P00012,P00013,P00014,P00017,P00018,P00019,P00020,P00021,P00022,P00024,P00025,P00027,P00028,P00029,P00030,P00031,P00032,P00035,P00036,P00037,P00038,P00039,P00040,P00041,P00042,P00043,P00046,P00047,P00048,P00049,P00051,P00052,P00053,P00054,P00055,P00056,P00057,P00058,P00059,P00060,P00061,P00062,P00063,P00064,P00065,P00066,P00067,P00068,P00069,P00070,P00071,P00072,P00073,P00074,P00075,P00076,P00077,P00078,P00079,P12831,P15451,P18822,P19681,P19974,P21665,P22342,P25400,P29380,P32556,P38091,P53698,P56205,P59218,P62772,P62773,P62894,P62895,P62896,P67881,P67882,P68096,P68097,P68098,P68099,P68100,P68517,P68518,P68519,P81280,P81459,P99998,P99999,Q41346,Q4HVX7,Q52V08,Q52V09,Q52V10,Q5RFH4,Q640U4,Q6C9Q0,Q6IQM2,Q6Q4H8,Q6QLW4,Q6WUX8,Q753F4,Q7YR71,Q96VP3">cytochrome c</mark> oxidase (<mark style="background-color:lightblue;" id="446195">CCO</mark>) was unaltered by <mark style="background-color:lightblue;" id="23973">cadmium</mark> treatment.
